,Statement,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms
78,Online giant Taobao tells sellers of protective gear not to take advantage of the outbreak.,77.0,16.0,3.0,6.0,2.0,16.0,4.8125,0.0,0.0,0.0,0.0,6.25,16.0,0.0,0.0
79,The patients were tested for coronavirus as a precaution after returning from China with respiratory problems.,78.0,16.0,2.0,6.0,2.0,16.0,4.875,0.0,0.0,0.0,6.25,0.0,14.0,0.0,0.0
80,"Thursday's newspapers feature a range of stories, including the latest on the Chinese coronavirus.",87.0,14.0,4.0,6.0,2.0,14.0,6.214285714285714,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
81,Many of Friday's newspapers focus on fears that coronavirus has spread from China to the UK.,83.0,19.0,4.0,4.0,2.0,19.0,4.368421052631579,0.0,0.0,0.0,5.263157894736842,0.0,19.0,0.0,0.0
82,The patient travelled to Northern Ireland from a city in China that is currently in lockdown.,80.0,18.0,5.0,5.0,2.0,18.0,4.444444444444445,0.0,0.0,0.0,0.0,11.11111111111111,18.0,0.0,0.0
83,"UK citizens criticise the government's response as ministers say they are ""working on"" repatriation.",86.0,16.0,2.0,7.0,2.0,16.0,5.375,0.0,0.0,0.0,6.25,12.5,16.0,0.0,0.0
84,The new guidance urges Britons already in Hubei province to leave - but some say they cannot get out.,95.0,16.0,3.0,6.0,2.0,16.0,5.9375,0.0,0.0,0.0,0.0,6.25,16.0,0.0,0.0
85,A small number of patients are being monitored for the virus which has killed 17 people in China.,78.0,20.0,6.0,5.0,2.0,20.0,3.9,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
86,"A number of papers lead on concerns over coronavirus, while Taylor Swift reveals her eating disorder.",69.0,15.0,5.0,4.0,2.0,15.0,4.6,0.0,0.0,0.0,0.0,6.666666666666667,15.0,0.0,0.0
87,The patients were tested for coronavirus as a precaution after returning from China with respiratory problems.,78.0,15.0,3.0,5.0,2.0,15.0,5.2,0.0,0.0,0.0,6.666666666666667,6.666666666666667,15.0,0.0,0.0
88,"Yvonne Griffiths, 71, is due to fly home on Monday but does not know if the airport will be open.",84.0,15.0,4.0,6.0,2.0,15.0,5.6,0.0,0.0,0.0,0.0,6.666666666666667,15.0,0.0,0.0
89,"The man was suspected of having the condition, which has killed 41 people in China.",86.0,19.0,3.0,5.0,2.0,19.0,4.526315789473684,0.0,0.0,0.0,5.263157894736842,5.263157894736842,17.0,0.0,0.0
90,"Michael Hope developed ""a nasty cough"" on returning to Newcastle from Wuhan where he worked.",78.0,17.0,5.0,5.0,2.0,17.0,4.588235294117647,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
91,"Five people tested negative while nine others are waiting for results, says Public Health England.",52.0,10.0,2.0,2.0,2.0,10.0,5.2,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0
92,"The health secretary says there are no confirmed cases of the virus in the UK, which is ""well prepared"".",48.0,8.0,2.0,3.0,2.0,8.0,6.0,0.0,0.0,0.0,0.0,12.5,8.0,0.0,0.0
93,"The focus will be on flights from Wuhan to Heathrow, an announcement later is expected to say.",99.0,20.0,5.0,7.0,4.0,7.0,4.95,0.0,0.0,0.0,5.0,15.0,20.0,0.0,0.0
94,The deadly coronavirus has now sickened more than 800 people.,66.0,13.0,3.0,4.0,2.0,13.0,5.076923076923077,0.0,0.0,0.0,0.0,15.384615384615385,13.0,0.0,0.0
95,The deadly coronavirus has sickened hundreds of people.,90.0,16.0,1.0,8.0,2.0,16.0,5.625,0.0,0.0,0.0,0.0,6.25,14.0,0.0,0.0
96,Social media network has blocked only some users' posts that falsely claim U.S. is withholding a cure to deadly virus.,100.0,20.0,3.0,7.0,2.0,20.0,5.0,0.0,0.0,0.0,0.0,5.0,16.0,0.0,0.0
97,The coronavirus outbreak started in central China and has left 41 people dead.,,,,,,,,,,,,,,,
98,CBS News correspondent Ramy Inocencio has the latest developments out of China on the deadly coronavirus.,,,,,,,,,,,,,,,
99,Companies are offering workers up to five times their pay to ramp up mask production as the deadly coronavirus spreads.,,,,,,,,,,,,,,,
